time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1753429795.89435673,0.00530819,5814,0.00039373,0.00000000,0,0.00000000,356,505,204,0.00000000
1753429795.99428535,0.00239884,5807,0.00032689,0.00000000,0,0.00000000,505,520,164,0.00070956
1753429796.09425211,0.00218588,5799,0.00020676,0.00000000,0,0.00000000,520,569,133,0.00021713
1753429796.19416499,0.00300045,5866,0.00036451,0.00000000,0,0.00000000,569,605,107,0.00024395
1753429796.29431748,0.00288990,5802,0.00024954,0.00000000,0,0.00000000,605,636,108,0.00032696
1753429796.39419341,0.00253691,5871,0.00017791,0.00000000,0,0.00000000,636,653,79,0.00026973
1753429796.49433851,0.00261068,5829,0.00014435,0.00000000,0,0.00000000,653,655,75,0.00013608
1753429796.59426975,0.00202916,5807,0.00014920,0.00000000,0,0.00000000,655,667,82,0.00024525
1753429796.69423914,0.00219630,5855,0.00012765,0.00000000,0,0.00000000,667,685,67,0.00025393
1753429796.79437160,0.00205746,5800,0.00011154,0.00000000,0,0.00000000,685,700,55,0.00023777
1753429796.89428711,0.00208596,5809,0.00013948,0.00000000,0,0.00000000,700,673,68,0.00024314
1753429796.99418807,0.00209836,5843,0.00008830,0.00000000,0,0.00000000,673,708,48,0.00014445
1753429797.09433556,0.00202994,5799,0.00009734,0.00000000,0,0.00000000,708,704,45,0.00015105
1753429797.19430089,0.00203212,5812,0.00007542,0.00000000,0,0.00000000,704,740,47,0.00013866
1753429797.29421115,0.00209009,5857,0.00006286,0.00000000,0,0.00000000,740,768,39,0.00014275
1753429797.39436150,0.00253589,5848,0.00008167,0.00000000,0,0.00000000,768,786,30,0.00013997
1753429797.49428678,0.00222514,5819,0.00011288,0.00000000,0,0.00000000,786,754,34,0.00014438
1753429797.59421253,0.00254750,5875,0.00005419,0.00000000,0,0.00000000,754,763,26,0.00013763
1753429797.69432926,0.00232506,5818,0.00009578,0.00000000,0,0.00000000,763,751,33,0.00015131
1753429797.79429984,0.00244462,5826,0.00005576,0.00000000,0,0.00000000,751,765,27,0.00024371
1753429797.89419818,0.00211402,5856,0.00006386,0.00000000,0,0.00000000,765,772,25,0.00014429
1753429797.99431229,0.00274216,5828,0.00008362,0.00000000,0,0.00000000,772,790,29,0.00024548
1753429798.09430790,0.00249634,5833,0.00009328,0.00000000,0,0.00000000,790,795,30,0.00024988
1753429798.19416738,0.00286267,5853,0.00025970,0.00000000,0,0.00000000,795,689,19,0.00023811
1753429798.29431844,0.00209156,5819,0.00003285,0.00000000,0,0.00000000,689,708,20,0.00017574
1753429798.39426851,0.00192003,5822,0.00004279,0.00000000,0,0.00000000,708,716,23,0.00023631
1753429798.49417925,0.00196524,5858,0.00004873,0.00000000,0,0.00000000,716,718,21,0.00025015
1753429798.59429049,0.00201783,5794,0.00003929,0.00000000,0,0.00000000,718,719,19,0.00021347
1753429798.69424272,0.00195371,5827,0.00003390,0.00000000,0,0.00000000,719,725,16,0.00014212
